date,COVID_CASE_RATE_WEEK3,NEIGHBORHOOD_NAME,PERCENT_POSITIVE_4WEEK,MODIFIED_ZCTA,PCT_CHANGE_2WEEK,COVID_DEATH_COUNT_4WEEK,COVID_CASE_RATE_4WEEK,COVID_CASE_COUNT_4WEEK,COVID_DEATH_RATE_4WEEK,COVID_CASE_COUNT_WEEK1,COVID_CASE_RATE_WEEK2,COVID_CASE_COUNT_WEEK3,COVID_CASE_COUNT_WEEK2,COVID_CASE_COUNT_WEEK4,COVID_CASE_RATE_WEEK1,COVID_CASE_RATE_WEEK4,NUM_PEOP_TEST_4WEEK,TESTING_RATE_4WEEK
10-10-2020,18.51,Clinton Hill/Prospect Heights,0.6,11238,-14,0,72.2,39,0,9,16.66,10,9,11,16.66,20.36,6476,11989.09
10-10-2020,0,East New York,0.56,11239,50,0,40.28,5,0,2,8.06,0,1,2,16.11,16.11,894,7201.91
10-10-2020,16.21,Flushing/Murray Hill,1.03,11354,115,1,73.85,41,1.8,21,12.61,9,7,4,37.83,7.2,3999,7203.03
10-10-2020,10,Flushing/Murray Hill/Queensboro Hill,0.76,11355,50,2,37.49,30,2.5,9,11.25,8,9,4,11.25,5,3930,4911.64
10-10-2020,30.01,College Point,1.35,11356,-10,0,81.47,19,0,4,21.44,7,5,3,17.15,12.86,1408,6037.03
10-10-2020,5,Whitestone,0.62,11357,83,0,42.53,17,0,8,7.5,2,3,4,20.01,10.01,2730,6829.17
10-10-2020,14.07,Auburndale/Murray Hill,1.1,11358,89,0,73.15,26,0,7,28.14,5,10,4,19.7,11.25,2364,6651.38
10-10-2020,21.21,Bayside (North),0.97,11360,-38,0,68.92,13,0,3,10.6,4,2,4,15.9,21.21,1342,7114.39
10-10-2020,0,Bayside (North)/Bayside (South),0.82,11361,175,0,53.63,15,0,6,17.88,0,5,4,21.45,14.3,1825,6524.38
10-10-2020,28.19,Douglaston-Little Neck,0.92,11362,20,0,62.01,11,0,3,16.91,5,3,0,16.91,0,1198,6753.86
10-10-2020,0,Douglaston-Little Neck,0.43,11363,0,0,27.94,2,0,0,13.97,0,1,1,0,13.97,463,6467.35
10-10-2020,2.89,Bayside (South)/Oakland Gardens,1.19,11364,67,0,69.44,24,0,10,14.47,1,5,8,28.93,23.15,2016,5832.9
10-10-2020,36.32,Auburndale/Fresh Meadows/Pomonok/Utopia,2.22,11365,22,0,136.21,60,0,15,40.86,16,18,11,34.05,24.97,2701,6131.56
10-10-2020,50.81,Fresh Meadows/Hillcrest,3.44,11366,-6,0,225.01,31,0,9,43.55,7,6,9,65.32,65.32,900,6532.44
10-10-2020,47.57,Kew Gardens Hills/Pomonok,4.01,11367,89,0,247.39,104,0,36,76.12,20,32,16,85.63,38.06,2591,6163.29
10-10-2020,15.23,Corona/North Corona,1.47,11368,22,2,81.55,91,1.79,28,19.71,17,22,24,25.09,21.51,6177,5535.24
10-10-2020,30.17,Airport/East Elmhurst,1.57,11369,5,0,106.96,39,0,6,38.4,11,14,8,16.46,21.94,2492,6834.47
10-10-2020,15.26,Jackson Heights/Rikers Island,0.99,11370,22,0,61.05,20,0,6,15.26,5,5,4,18.32,12.21,2012,6141.89
10-10-2020,15.98,Jackson Heights,0.95,11372,81,1,71.93,45,1.6,16,20.78,10,13,6,25.57,9.59,4754,7598.76
10-10-2020,21.53,Elmhurst,1.46,11373,90,1,93.67,87,1.08,30,29.07,20,27,10,32.3,10.77,5960,6417.17
10-10-2020,45.19,Rego Park,3.2,11374,48,1,235.45,99,2.38,30,68.97,19,29,21,71.35,49.94,3092,7353.57
